	count	mean	std	min	25%	50%	75%	max
jedit-withoutFSwithoutRules	98,00000	1395,38776	1384,09047	28,00000	429,75000	1036,00000	1602,00000	6549,00000	
jedit-withoutFSwithRules	98,00000	5314,87755	6823,29198	84,00000	1012,00000	2916,00000	5294,50000	29643,00000	
jedit-withFSwithoutRules	98,00000	20478,60204	26030,20188	154,00000	3889,75000	10418,00000	21456,00000	115650,00000	
jedit-withFSwithRules	98,00000	23682,19388	30835,90476	184,00000	4276,00000	11830,00000	23369,50000	135738,00000	
Weka-withoutFSwithoutRules	197,00000	2253,29949	3371,77527	36,00000	348,00000	914,00000	2558,00000	15384,00000	
Weka-withoutFSwithRules	197,00000	11177,64467	16090,74567	90,00000	1274,00000	2964,00000	18420,00000	51030,00000	
Weka-withFSwithoutRules	197,00000	12671,79695	21373,06829	189,00000	1531,00000	3534,00000	17009,00000	106137,00000	
Weka-withFSwithRules	197,00000	20829,60406	32231,16483	227,00000	2303,00000	5406,00000	31185,00000	144129,00000	
FreeCol-withoutFSwithoutRules	100,00000	72120,98000	260673,38368	42,00000	1004,50000	5362,00000	20301,00000	1200174,00000	
FreeCol-withoutFSwithRules	100,00000	1059051,32000	4208723,06156	392,00000	4611,50000	23338,00000	104771,00000	19291918,00000	
FreeCol-withFSwithoutRules	100,00000	721301,85000	2782718,46024	225,00000	5257,25000	35457,00000	129539,00000	12774056,00000	
FreeCol-withFSwithRules	100,00000	1555849,37000	6111027,10196	710,00000	8099,25000	52297,00000	215031,00000	28026872,00000	
